time,high,low,open,close,conversionType,conversionSymbol
1641911040,41595.49,41561.82,41586.1,41562.6,direct,
1641911100,41569.52,41463.54,41562.6,41513.31,direct,
1641911160,41534.95,41499.52,41513.31,41509.28,direct,
1641911220,41533.47,41464.74,41509.28,41472.01,direct,
1641911280,41496.23,41394.74,41472.01,41412.26,direct,
1641911340,41440.36,41365.91,41412.26,41365.91,direct,
1641911400,41423.81,41365.91,41365.91,41418.83,direct,
1641911460,41418.83,41323.81,41418.83,41350.05,direct,
1641911520,41375.91,41320.5,41350.05,41365.08,direct,
1641911580,41369.12,41328.34,41365.08,41328.34,direct,
1641911640,41337.59,41298.42,41328.34,41304.59,direct,
1641911700,41365.9,41279.45,41304.59,41356.7,direct,
1641911760,41513.29,41349.56,41356.7,41492.52,direct,
1641911820,41507.37,41472.73,41492.52,41482.81,direct,
1641911880,41511.32,41439.0,41482.81,41439.0,direct,
1641911940,41492.62,41434.0,41439.0,41490.78,direct,
1641912000,41491.52,41423.93,41490.78,41423.93,direct,
1641912060,41441.11,41339.14,41423.93,41351.29,direct,
1641912120,41415.63,41344.75,41351.29,41397.14,direct,
1641912180,41412.91,41342.74,41397.14,41381.94,direct,
1641912240,41433.4,41372.27,41381.94,41429.51,direct,
1641912300,41446.2,41390.52,41429.51,41446.2,direct,
1641912360,41565.23,41445.87,41446.2,41546.02,direct,
1641912420,41558.41,41502.59,41546.02,41516.31,direct,
1641912480,41521.8,41478.22,41516.31,41480.8,direct,
1641912540,41518.27,41474.76,41480.8,41516.41,direct,
1641912600,41538.89,41494.14,41516.41,41538.26,direct,
1641912660,41700.03,41538.26,41538.26,41695.25,direct,
1641912720,41701.73,41659.95,41695.25,41664.91,direct,
1641912780,41685.66,41636.71,41664.91,41683.92,direct,
1641912840,41683.92,41589.79,41683.92,41606.02,direct,
1641912900,41606.02,41519.87,41606.02,41525.21,direct,
1641912960,41561.76,41525.21,41525.21,41558.82,direct,
1641913020,41636.06,41554.89,41558.82,41580.94,direct,
1641913080,41624.32,41571.21,41580.94,41617.95,direct,
1641913140,41641.38,41611.02,41617.95,41632.88,direct,
1641913200,41771.96,41594.06,41632.88,41771.88,direct,
1641913260,41870.92,41771.88,41771.88,41830.3,direct,
1641913320,41830.3,41765.4,41830.3,41770.58,direct,
1641913380,41828.32,41745.68,41770.58,41809.35,direct,
1641913440,41931.66,41809.35,41809.35,41920.19,direct,
1641913500,42165.92,41920.19,41920.19,42160.68,direct,
1641913560,42167.03,42021.88,42160.68,42025.38,direct,
1641913620,42050.36,42006.15,42025.38,42016.11,direct,
1641913680,42022.47,41953.77,42016.11,41964.01,direct,
1641913740,42013.64,41942.52,41964.01,41945.84,direct,
1641913800,41957.13,41879.15,41945.84,41879.21,direct,
1641913860,41921.45,41872.22,41879.21,41901.21,direct,
1641913920,41970.4,41898.79,41901.21,41940.01,direct,
1641913980,41964.08,41903.37,41940.01,41917.98,direct,
1641914040,41978.96,41909.9,41917.98,41946.61,direct,
1641914100,41974.53,41854.79,41946.61,41870.26,direct,
1641914160,41885.32,41791.43,41870.26,41800.49,direct,
1641914220,41865.28,41799.75,41800.49,41862.67,direct,
1641914280,41930.25,41862.67,41862.67,41891.91,direct,
1641914340,41913.37,41884.17,41891.91,41910.36,direct,
1641914400,41919.09,41886.16,41910.36,41886.95,direct,
1641914460,41949.5,41886.95,41886.95,41934.99,direct,
1641914520,41948.3,41902.01,41934.99,41902.08,direct,
1641914580,41915.39,41877.2,41902.08,41897.3,direct,
1641914640,41923.3,41853.76,41897.3,41854.5,direct,
1641914700,41867.27,41743.89,41854.5,41779.11,direct,
1641914760,41791.74,41749.05,41779.11,41774.78,direct,
1641914820,41834.29,41772.88,41774.78,41814.82,direct,
1641914880,41849.86,41807.58,41814.82,41848.93,direct,
1641914940,41855.78,41808.48,41848.93,41808.91,direct,
1641915000,41968.49,41808.91,41808.91,41956.07,direct,
1641915060,41959.9,41799.2,41956.07,41799.36,direct,
1641915120,41870.86,41793.34,41799.36,41859.68,direct,
1641915180,41882.17,41764.93,41859.68,41769.81,direct,
1641915240,41779.85,41637.79,41769.81,41646.19,direct,
1641915300,41672.14,41596.83,41646.19,41669.08,direct,
1641915360,41684.91,41649.86,41669.08,41684.91,direct,
1641915420,41727.0,41684.91,41684.91,41706.68,direct,
1641915480,41732.16,41697.01,41706.68,41715.36,direct,
1641915540,41715.36,41644.44,41715.36,41671.9,direct,
1641915600,41674.17,41638.07,41671.9,41664.92,direct,
1641915660,41672.72,41542.08,41664.92,41569.97,direct,
1641915720,41570.86,41466.38,41569.97,41505.07,direct,
1641915780,41514.81,41482.65,41505.07,41500.24,direct,
1641915840,41545.88,41494.22,41500.24,41511.63,direct,
1641915900,41631.4,41492.96,41511.63,41599.48,direct,
1641915960,41605.39,41572.89,41599.48,41592.06,direct,
1641916020,41619.71,41550.23,41592.06,41614.48,direct,
1641916080,41636.98,41603.31,41614.48,41610.08,direct,
1641916140,41620.73,41572.13,41610.08,41591.5,direct,
1641916200,41596.46,41563.65,41591.5,41581.15,direct,
1641916260,41612.75,41577.19,41581.15,41598.58,direct,
1641916320,41621.01,41596.6,41598.58,41620.91,direct,
1641916380,41642.27,41600.2,41620.91,41642.27,direct,
1641916440,41682.21,41638.16,41642.27,41650.07,direct,
1641916500,41734.49,41648.29,41650.07,41697.63,direct,
1641916560,41698.75,41647.12,41697.63,41652.77,direct,
1641916620,41667.23,41645.1,41652.77,41649.28,direct,
1641916680,41772.1,41649.28,41649.28,41742.82,direct,
1641916740,41747.89,41726.28,41742.82,41742.41,direct,
1641916800,41779.06,41740.54,41742.41,41763.14,direct,
1641916860,41768.7,41723.58,41763.14,41723.58,direct,
1641916920,41756.53,41704.3,41723.58,41755.81,direct,
1641916980,41895.67,41755.81,41755.81,41880.98,direct,
1641917040,41997.44,41867.57,41880.98,41972.1,direct,
1641917100,42048.61,41951.07,41972.1,42010.97,direct,
1641917160,42086.37,41991.03,42010.97,42078.9,direct,
1641917220,42107.22,42051.68,42078.9,42067.63,direct,
1641917280,42093.12,42043.56,42067.63,42051.35,direct,
1641917340,42067.66,41974.1,42051.35,41991.86,direct,
1641917400,42048.91,41991.86,41991.86,42012.83,direct,
1641917460,42062.08,42006.38,42012.83,42021.34,direct,
